time x y z yaw
14.656 34.2508 -1.3164 0.3292 1.5708
14.688 34.2730 -1.3163 0.3292 1.5708
14.720 34.2952 -1.3161 0.3292 1.5708
14.752 34.3173 -1.3159 0.3292 1.5707
14.784 34.3395 -1.3158 0.3292 1.5707
14.816 34.3617 -1.3156 0.3292 1.5707
14.848 34.3839 -1.3155 0.3292 1.5707
14.880 34.4060 -1.3153 0.3292 1.5707
14.912 34.4282 -1.3151 0.3292 1.5707
14.944 34.4504 -1.3150 0.3292 1.5707
14.976 34.4726 -1.3148 0.3292 1.5707
15.008 34.4947 -1.3146 0.3292 1.5707
15.040 34.5169 -1.3145 0.3292 1.5707
15.072 34.5391 -1.3143 0.3292 1.5707
15.104 34.5613 -1.3142 0.3292 1.5707
15.136 34.5834 -1.3140 0.3292 1.5707
15.168 34.6056 -1.3138 0.3292 1.5707
15.200 34.6278 -1.3137 0.3292 1.5708
15.232 34.6500 -1.3135 0.3292 1.5708
15.264 34.6721 -1.3134 0.3292 1.5708
15.296 34.6943 -1.3132 0.3292 1.5708
15.328 34.7165 -1.3130 0.3292 1.5708
15.360 34.7387 -1.3129 0.3292 1.5708
15.392 34.7609 -1.3127 0.3292 1.5708
15.424 34.7830 -1.3125 0.3292 1.5708
15.456 34.8052 -1.3124 0.3292 1.5708
15.488 34.8274 -1.3122 0.3292 1.5708
15.520 34.8496 -1.3121 0.3292 1.5708
15.552 34.8717 -1.3119 0.3292 1.5708
15.584 34.8939 -1.3117 0.3292 1.5708
15.616 34.9161 -1.3116 0.3292 1.5708
15.648 34.9383 -1.3114 0.3292 1.5708
15.680 34.9604 -1.3113 0.3292 1.5708
15.712 34.9826 -1.3111 0.3292 1.5708
15.744 35.0048 -1.3109 0.3292 1.5708
15.776 35.0270 -1.3108 0.3292 1.5707
15.808 35.0491 -1.3106 0.3292 1.5707
15.840 35.0713 -1.3104 0.3292 1.5707
15.872 35.0935 -1.3103 0.3292 1.5707
15.904 35.1157 -1.3101 0.3292 1.5707
15.936 35.1378 -1.3100 0.3292 1.5707
15.968 35.1600 -1.3098 0.3292 1.5707
16.000 35.1822 -1.3096 0.3292 1.5707
16.032 35.2044 -1.3095 0.3292 1.5707
16.064 35.2265 -1.3093 0.3292 1.5707
16.096 35.2487 -1.3092 0.3292 1.5707
16.128 35.2709 -1.3090 0.3292 1.5707
16.160 35.2931 -1.3088 0.3292 1.5707
16.192 35.3152 -1.3087 0.3292 1.5708
16.224 35.3374 -1.3085 0.3292 1.5708
16.256 35.3596 -1.3084 0.3292 1.5708
16.288 35.3818 -1.3082 0.3292 1.5708
16.320 35.4039 -1.3080 0.3292 1.5708
16.352 35.4261 -1.3079 0.3292 1.5708
16.384 35.4483 -1.3077 0.3292 1.5708
16.416 35.4705 -1.3075 0.3292 1.5708
16.448 35.4926 -1.3074 0.3292 1.5708
